week,stock_trade_date,actual_stock_close_raw,predicted_stock_close,residual
2023-10-13,2023-10-13,12.02,11.298015836577488,0.7219841634225119
2023-10-20,2023-10-20,11.65,11.838837861102622,-0.18883786110262157
2023-10-27,2023-10-27,12.01,11.985671446616623,0.024328553383377027
2023-11-03,2023-11-03,12.17,12.199461032642095,-0.029461032642094764
2023-11-10,2023-11-10,11.78,11.955871371856118,-0.17587137185611823
2023-11-17,2023-11-17,11.97,12.148271653233257,-0.17827165323325644
2023-11-24,2023-11-24,11.85,12.035587919481355,-0.185587919481355
2023-12-01,2023-12-01,12.04,12.288219309774176,-0.24821930977417672
2023-12-08,2023-12-08,11.67,12.194804828366358,-0.5248048283663582
2023-12-15,2023-12-15,11.7,12.314933283395352,-0.6149332833953522
2023-12-22,2023-12-22,12.14,12.477706855483838,-0.3377068554838374
2023-12-29,2023-12-29,12.46,12.457204269836902,0.002795730163098753
2024-01-05,2024-01-05,12.47,12.34774222806295,0.12225777193705056
2024-01-12,2024-01-12,12.2,12.293575926461383,-0.09357592646138357
2024-01-19,2024-01-19,11.92,12.201612786600418,-0.28161278660041766
2024-01-26,2024-01-26,12.22,12.431972818909573,-0.21197281890957242
2024-02-02,2024-02-02,12.03,12.455894100671943,-0.4258941006719432
2024-02-09,2024-02-08,12.5,12.224617079372447,0.2753829206275533
2024-02-23,2024-02-23,13.5,12.502835027341595,0.9971649726584051
2024-03-01,2024-03-01,13.25,12.54075383953872,0.7092461604612801
2024-03-08,2024-03-08,14.89,13.247829238619875,1.6421707613801253
2024-03-15,2024-03-15,15.96,14.04759394540649,1.9124060545935109
2024-03-22,2024-03-22,15.39,14.034996758047908,1.355003241952092
2024-03-29,2024-03-29,16.82,14.50945557642131,2.3105444235786905
2024-04-05,2024-04-03,17.51,15.195185936987976,2.314814063012026
2024-04-12,2024-04-12,18.39,16.712552053778175,1.6774479462218252
2024-04-19,2024-04-19,18.63,17.38134723929362,1.2486527607063778
2024-04-26,2024-04-26,18.27,17.56987636382096,0.7001236361790397
2024-05-03,2024-04-30,17.61,17.688268194173723,-0.07826819417372377
2024-05-10,2024-05-10,18.24,17.66880509710216,0.5711949028978367
2024-05-17,2024-05-17,18.78,18.596279695153353,0.18372030484664847
